GAGA ID	Species	Subfamily	Shortname	Final species name
GAGA-0001	Acyrthosiphon_pisum	Aphidinae	Apis	Acyrthosiphon_pisum
GAGA-0002	Adelges_cooleyi	Adelginae	Acoo	Adelges_cooleyi
GAGA-0003	Aphis_craccivora	Aphidinae	Acra	Aphis_craccivora
GAGA-0004	Aphis_fabae	Aphidinae	Afab	Aphis_fabae
GAGA-0005	Aphis_glycines	Aphidinae	Agly	Aphis_glycines
GAGA-0006	Aphis_gossypii	Aphidinae	Agos	Aphis_gossypii
GAGA-0007	Aphis_rumicis	Aphidinae	Arum	Aphis_rumicis
GAGA-0008	Aphis_thalictri	Aphidinae	Atha	Aphis_thalictri
GAGA-0009	Brachycaudus_cardui	Aphidinae	Bcar	Brachycaudus_cardui
GAGA-0010	Brachycaudus_helichrysi	Aphidinae	Bhel	Brachycaudus_helichrysi
GAGA-0011	Brachycaudus_klugkisti	Aphidinae	Bklu	Brachycaudus_klugkisti
GAGA-0012	Brevicoryne_brassicae	Aphidinae	Bbra	Brevicoryne_brassicae
GAGA-0013	Chaitophorus_viminalis	Chaitophorinae	Cvim	Chaitophorus_viminalis
GAGA-0014	Cinara_cedri	Lachninae	Cced	Cinara_cedri
GAGA-0015	Daktulosphaira_vitifoliae	Phylloxerinae	Dvit	Daktulosphaira_vitifoliae
GAGA-0016	Diuraphis_noxia	Aphidinae	Dnox	Diuraphis_noxia
GAGA-0017	Drepanosiphum_platanoidis	Drepanosiphinae	Dpla	Drepanosiphum_platanoidis
GAGA-0018	Dysaphis_plantaginea	Aphidinae	Dypla	Dysaphis_plantaginea
GAGA-0019	Eriosoma_lanigerum	Eriosomatinae	Elan	Eriosoma_lanigerum
GAGA-0020	Hormaphis_cornu	Hormaphidinae	Hcor	Hormaphis_cornu
GAGA-0021	Macrosiphum_albifrons	Aphidinae	Malb	Macrosiphum_albifrons
GAGA-0022	Macrosiphum_euphorbiae	Aphidinae	Meup	Macrosiphum_euphorbiae
GAGA-0023	Melanaphis_sacchari	Aphidinae	Msac	Melanaphis_sacchari
GAGA-0024	Metopolophium_dirhodum	Aphidinae	Mdir	Metopolophium_dirhodum
GAGA-0025	Myzus_cerasi	Aphidinae	Mcer	Myzus_cerasi
GAGA-0026	Myzus_ligustri	Aphidinae	Mlig	Myzus_ligustri
GAGA-0027	Myzus_lythri	Aphidinae	Mlyt	Myzus_lythri
GAGA-0028	Myzus_persicae	Aphidinae	Mper	Myzus_persicae
GAGA-0029	Myzus_varians	Aphidinae	Mvar	Myzus_varians
GAGA-0030	Nasonovia_ribisnigri	Aphidinae	Nrib	Nasonovia_ribisnigri
GAGA-0031	Neotoxoptera_formosana	Aphidinae	Nfor	Neotoxoptera_formosana
GAGA-0032	Pemphigus_obesinymphae	Pemphiginae	Pobe	Pemphigus_obesinymphae
GAGA-0033	Pentalonia_nigronervosa	Aphidinae	Pnig	Pentalonia_nigronervosa
GAGA-0034	Periphyllus_acericola	Chaitophorinae	Pace	Periphyllus_acericola
GAGA-0035	Phorodon_humuli	Aphidinae	Phum	Phorodon_humuli
GAGA-0036	Rhopalosiphum_maidis	Aphidinae	Rmai	Rhopalosiphum_maidis
GAGA-0037	Rhopalosiphum_nymphaeae	Aphidinae	Rnym	Rhopalosiphum_nymphaeae
GAGA-0038	Rhopalosiphum_padi	Aphidinae	Rpad	Rhopalosiphum_padi
GAGA-0039	Schlechtendalia_chinensis	Pemphiginae	Schi	Schlechtendalia_chinensis
GAGA-0040	Sipha_flava	Chaitophorinae	Sfla	Sipha_flava
GAGA-0041	Sitobion_miscanthi	Aphidinae	Smis	Sitobion_miscanthi
GAGA-0042	Tetraneura_akinire	Eriosomatinae	Taki	Tetraneura_akinire
GAGA-0043	Therioaphis_trifolii	Aphidinae	Ttri	Therioaphis_trifolii
GAGA-0044	Tuberolachnus_salignus	Lachninae	Tsal	Tuberolachnus_salignus
